name,Smiles,k_i,unit
lig_27,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccccc1,35,uM
lig_28,Cc1ccccc1OCCCc1c(C(=O)[O-])[nH]c2ccccc12,15,uM
lig_30,Cc1cccc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)c1,1.9,uM
lig_31,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(C(F)(F)F)c1,1.7,uM
lig_32,Cc1ccc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)cc1,16,uM
lig_33,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Cl)cc1,9.8,uM
lig_34,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(C(F)(F)F)cc1,9.9,uM
lig_35,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)ccc1Cl,0.38,uM
lig_36,CCc1cc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)ccc1Cl,1.1,uM
lig_37,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)cc(C)c1Cl,0.3,uM
lig_43,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2ccccc2c1,7.5,uM
lig_46,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2c(c1)CCC2,2.9,uM
lig_47,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2ncccc2c1,62,uM
lig_48,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2[nH]ccc12,14,uM
lig_49,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cccc(Cl)c23)ccc1Cl,0.81,uM
lig_50,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cccc(Cl)c23)cc(C)c1Cl,0.16,uM
lig_52,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cc(Cl)ccc23)ccc1Cl,0.19,uM
lig_53,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cc(Cl)ccc23)cc(C)c1Cl,0.055,uM
lig_56,Cc1cc(OCCCc2c(C(=O)[O-])n(C)c3ccccc23)cc(C)c1Cl,0.18,uM
lig_58,Cc1cc(OCCCc2c(C(=O)[O-])n(C)c3cc(Cl)ccc23)cc(C)c1Cl,0.14,uM
lig_60,Cc1cc(OCCCc2c(C(=O)[O-])sc3ccccc23)cc(C)c1Cl,0.32,uM
lig_61,Cc1cc(OCCCc2c(C(=O)[O-])sc3cccc(Cl)c23)cc(C)c1Cl,1.3,uM
lig_63,Cc1cc(OCCCc2c(C(=O)[O-])sc3cc(Cl)ccc23)cc(C)c1Cl,0.25,uM
lig_65,Cc1cc(OCCCc2c(C(=O)[O-])sc3c(Cl)cccc23)cc(C)c1Cl,0.75,uM
lig_67,Cc1cc(OCCCc2c(C(=O)[O-])oc3ccccc23)cc(C)c1Cl,3,uM
